Year,Month,Day,Hour,Decimal Year,T
1940,5,24,12,1940.3948,8.1050376
1940,5,24,18,1940.3955,10.308847
1940,5,25,0,1940.3962,7.7549487
1940,5,25,6,1940.3969,7.7444461
1940,5,25,12,1940.3975,9.0642811
1940,5,25,18,1940.3982,14.803988
1940,5,26,0,1940.3989,10.706198
1940,5,26,6,1940.3996,9.9797635
1940,5,26,12,1940.4003,10.277339
1940,5,26,18,1940.401,14.723468
1940,5,27,0,1940.4016,12.44964
1940,5,27,6,1940.4023,11.205074
1940,5,27,12,1940.403,12.353366
1940,5,27,18,1940.4037,18.611204
1940,5,28,0,1940.4044,16.514172
1940,5,28,6,1940.4051,13.624189
1940,5,28,12,1940.4057,14.781232
1940,5,28,18,1940.4064,16.277862
1940,5,29,0,1940.4071,14.973781
1940,5,29,6,1940.4078,12.671947
1940,5,29,12,1940.4085,9.6699348
1940,5,29,18,1940.4092,14.005785
1940,5,30,0,1940.4098,12.962521
1940,5,30,6,1940.4105,7.5676512
1940,5,30,12,1940.4112,12.871497
1940,5,30,18,1940.4119,19.360395
1940,5,31,0,1940.4126,15.446401
1940,5,31,6,1940.4133,8.4358716
1940,5,31,12,1940.4139,10.71495
1940,5,31,18,1940.4146,12.839989
1940,6,1,0,1940.4153,10.797221
1940,6,1,6,1940.416,9.8764872
1940,6,1,12,1940.4167,11.518404
1940,6,1,18,1940.4173,20.454422
1940,6,2,0,1940.418,17.223102
1940,6,2,6,1940.4187,13.527914
1940,6,2,12,1940.4194,15.71597
1940,6,2,18,1940.4201,20.225114
1940,6,3,0,1940.4208,16.727726
1940,6,3,6,1940.4214,12.101302
1940,6,3,12,1940.4221,14.723468
1940,6,3,18,1940.4228,23.39867
1940,6,4,0,1940.4235,20.088579
1940,6,4,6,1940.4242,16.825751
1940,6,4,12,1940.4249,19.524936
1940,6,4,18,1940.4255,24.830533
1940,6,5,0,1940.4262,20.594458
1940,6,5,6,1940.4269,16.687466
1940,6,5,12,1940.4276,18.180595
1940,6,5,18,1940.4283,25.40993
1940,6,6,0,1940.429,19.897781
1940,6,6,6,1940.4296,18.124581
1940,6,6,12,1940.4303,13.065797
1940,6,6,18,1940.431,16.162333
1940,6,7,0,1940.4317,15.812244
1940,6,7,6,1940.4324,11.835234
1940,6,7,12,1940.4331,14.896762
1940,6,7,18,1940.4337,21.86178
